timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,ttl,tcp_flags,attack_type
1742700182.20055,172.18.121.166,104.26.37.10,52837,8443,HTTPS,1292,128,45.0,normal
1742700182.73958,10.43.174.12,7.104.78.142,37123,443,HTTPS,332,128,4.0,normal
1742700182.746502,192.168.1.163,131.125.214.236,24102,443,TLS,392,128,59.0,normal
1742700184.160216,192.168.1.188,104.31.102.155,37963,443,TLS,479,64,6.0,normal
1742700185.193531,172.16.0.221,203.0.113.36,52463,53,DNS,150,64,,normal
1742700186.94778,10.27.35.193,201.139.65.115,31544,443,TLS,483,128,31.0,normal
1742700191.811779,192.168.1.254,116.237.10.23,38950,443,HTTPS,931,32,61.0,normal
1742700192.002163,10.154.40.177,104.23.191.176,63311,20,FTP,505,64,37.0,normal
1742700192.829289,192.168.1.97,161.190.103.68,12980,8443,HTTPS,260,128,63.0,normal
1742700195.733008,196.178.213.53,192.168.1.173,59132,21,TCP,348,64,46.0,normal
1742700197.240933,10.176.232.153,104.17.110.195,24409,3389,RDP,141,64,,normal
1742700201.884698,192.168.1.164,198.51.100.150,36273,25,TCP,729,64,27.0,normal
1742700203.751607,192.168.1.48,11.125.219.110,16613,80,TCP,339,64,32.0,normal
1742700203.879882,28.250.6.25,10.9.179.54,60056,443,TLS,479,64,57.0,normal
1742700204.393447,198.51.100.61,10.0.0.70,24853,443,TCP,518,32,37.0,normal
1742700207.239166,192.168.1.158,198.51.100.189,24409,8443,HTTPS,1327,128,44.0,normal
1742700207.437568,203.0.113.170,172.22.227.98,19132,443,HTTPS,1076,64,3.0,normal
1742700208.084165,192.168.1.245,203.0.113.3,57215,443,TLS,545,64,6.0,normal
1742700212.04225,192.168.1.233,168.158.198.12,49230,445,SMB,542,128,,normal
1742700212.678988,10.0.0.25,104.25.92.52,15798,8443,HTTPS,551,128,43.0,normal
1742700213.809497,192.168.1.159,104.26.218.2,58056,8443,HTTPS,1061,64,26.0,normal
1742700214.746861,10.185.180.64,30.214.82.177,52975,162,SNMP,148,64,,normal
1742700215.499947,192.168.1.71,104.17.92.56,19619,443,HTTPS,1338,128,49.0,normal
1742700216.003516,104.21.14.231,172.24.60.229,65278,8443,HTTPS,1322,64,35.0,normal
1742700219.162869,172.25.123.141,198.51.100.145,57459,443,HTTPS,1100,64,8.0,normal
1742700220.310578,104.31.2.230,172.30.220.240,46883,53,DNS,188,32,,normal
1742700220.356894,10.154.232.240,198.51.100.210,24719,21,TCP,498,128,7.0,normal
1742700221.730134,198.51.100.26,192.168.1.22,34268,8080,HTTP,1288,128,38.0,normal
1742700221.848011,10.0.0.211,203.0.113.3,53435,21,TCP,195,32,37.0,normal
1742700223.238737,10.92.242.252,161.225.29.192,40133,443,TLS,664,64,10.0,normal
1742700223.947647,203.0.113.43,10.73.87.145,36458,22,SSH,366,32,3.0,normal
1742700224.356521,13.228.14.75,10.0.0.175,20821,123,UDP,565,32,,normal
1742700225.23513,10.6.207.23,149.11.213.88,16025,22,SSH,322,64,33.0,normal
1742700226.417686,192.168.1.232,203.0.113.28,14110,22,SSH,710,32,30.0,normal
1742700227.998874,10.0.0.235,47.239.92.34,52720,53,UDP,766,64,,normal
1742700228.81318,104.21.122.141,192.168.1.38,57473,80,TCP,346,128,19.0,normal
1742700229.114585,104.28.45.152,10.178.44.134,10978,0,ICMP,227,32,,normal
1742700232.058467,10.124.239.42,203.0.113.73,10815,22,SSH,580,32,10.0,normal
1742700232.663596,104.31.4.141,10.242.108.42,64914,22,SSH,554,32,14.0,normal
1742700235.965368,104.18.93.229,192.168.1.4,46017,21,TCP,123,64,19.0,normal
1742700236.936186,192.168.1.15,206.11.101.212,24857,445,SMB,973,64,,normal
1742700241.546572,10.53.139.155,198.51.100.52,13065,0,ICMP,161,64,,normal
1742700242.317352,10.97.218.201,104.18.111.174,47972,123,UDP,325,64,,normal
1742700242.708283,192.168.1.79,198.51.100.246,30177,443,TLS,677,32,9.0,normal
1742700244.844391,192.168.1.117,198.51.100.59,65050,22,SSH,645,32,39.0,normal
1742700244.964218,192.168.1.14,198.51.100.24,54607,8443,HTTPS,1319,64,56.0,normal
1742700245.341504,10.94.57.247,203.0.113.195,30232,443,HTTPS,1086,64,5.0,normal
1742700246.209571,192.168.1.230,104.26.71.202,13736,443,HTTPS,1199,64,44.0,normal
1742700246.388651,192.168.1.186,164.101.110.148,54862,443,TCP,771,128,62.0,normal
1742700248.833884,198.51.100.180,10.182.151.54,27117,53,DNS,85,32,,normal
1742700249.134433,10.93.236.195,198.51.100.231,42464,80,HTTP,1428,128,0.0,normal
1742700249.135293,120.117.171.248,10.0.0.195,55757,53,UDP,117,64,,normal
1742700249.938102,10.111.235.2,104.24.34.23,65017,443,TLS,484,128,6.0,normal
1742700252.946451,192.168.1.65,203.0.113.63,39000,443,TLS,589,64,49.0,normal
1742700253.451518,10.0.0.117,198.51.100.53,43804,445,SMB,851,32,,normal
1742700253.492679,192.168.1.26,133.147.72.64,11260,8080,HTTP,645,128,33.0,normal
1742700253.618719,198.51.100.218,192.168.1.17,41888,443,TLS,674,32,56.0,normal
1742700255.108404,104.18.202.226,10.194.166.47,49495,80,TCP,459,32,46.0,normal
1742700257.269205,10.169.182.236,198.51.100.18,23203,80,HTTP,1274,128,37.0,normal
1742700257.399653,104.26.195.189,172.21.137.246,24468,53,DNS,119,64,,normal
1742700258.467863,172.20.206.93,198.51.100.160,61555,443,TLS,650,64,62.0,normal
1742700258.962351,172.17.101.94,203.0.113.224,65383,53,DNS,101,32,,normal
1742700259.564839,192.168.1.90,203.0.113.68,23689,443,HTTPS,1157,128,12.0,normal
1742700260.159644,198.51.100.236,192.168.1.19,40227,8443,HTTPS,569,32,59.0,normal
1742700260.787843,216.188.95.253,172.16.47.171,18960,80,HTTP,1453,64,52.0,normal
1742700262.462243,172.16.0.239,61.151.170.76,38447,8080,HTTP,1029,128,28.0,normal
1742700263.159615,104.23.127.65,172.24.211.204,33892,21,TCP,107,64,31.0,normal
1742700265.002623,192.168.1.64,198.51.100.106,42189,25,TCP,711,128,33.0,normal
1742700265.064304,192.168.1.54,104.18.143.221,29505,25,SMTP,219,64,28.0,normal
1742700265.724762,192.168.1.147,37.153.179.93,61635,53,DNS,153,128,,normal
1742700266.362666,192.168.1.80,198.51.100.203,63554,67,DHCP,239,64,,normal
1742700266.578449,10.248.167.116,104.27.196.214,38798,80,TCP,585,128,53.0,normal
1742700267.115137,192.168.1.232,186.245.52.253,28726,21,TCP,411,32,61.0,normal
1742700269.101145,172.18.191.185,198.51.100.24,40272,443,TLS,600,128,3.0,normal
1742700269.392932,172.22.112.193,198.51.100.50,15019,80,HTTP,959,128,60.0,normal
1742700269.427647,192.168.1.34,104.31.207.117,24132,80,TCP,635,32,40.0,normal
1742700270.871869,192.168.1.45,203.0.113.121,29886,3389,RDP,104,128,,normal
1742700274.25054,172.26.179.96,198.51.100.93,20606,8080,HTTP,1166,64,23.0,normal
1742700274.473006,10.158.1.194,58.67.236.229,42346,8443,HTTPS,535,64,8.0,normal
1742700275.398126,172.29.69.206,104.27.51.118,21071,587,SMTP,734,128,5.0,normal
1742700276.28099,198.51.100.23,172.27.29.235,29088,8443,HTTPS,741,32,29.0,normal
1742700277.64437,192.168.1.59,203.0.113.36,11945,25,TCP,329,128,53.0,normal
1742700277.915024,172.24.4.118,203.0.113.66,10499,8443,HTTPS,814,32,20.0,normal
1742700279.559352,10.23.85.244,203.0.113.228,57069,80,HTTP,1045,32,53.0,normal
1742700281.586105,172.16.0.11,51.218.238.41,21835,22,SSH,416,32,6.0,normal
1742700282.274015,172.27.82.248,222.197.152.122,32041,22,TCP,774,32,59.0,normal
1742700283.074725,10.22.232.182,203.0.113.141,26283,443,HTTPS,716,64,10.0,normal
1742700285.527165,192.168.1.175,104.25.8.34,34514,443,HTTPS,769,32,43.0,normal
1742700286.210924,172.16.0.120,111.118.209.175,28764,80,HTTP,450,32,34.0,normal
1742700286.336407,10.234.208.20,104.31.80.184,23320,8443,HTTPS,1211,128,52.0,normal
1742700286.467445,10.128.247.157,198.51.100.250,51335,443,HTTPS,1122,64,49.0,normal
1742700286.568563,203.0.113.166,192.168.1.139,65332,443,HTTPS,700,32,12.0,normal
1742700287.013746,172.19.7.88,73.131.181.34,30410,22,SSH,527,128,61.0,normal
1742700289.39034,192.168.1.239,198.51.100.70,41351,8080,HTTP,879,128,54.0,normal
1742700289.572691,10.137.41.78,203.0.113.9,14982,8443,HTTPS,415,128,50.0,normal
1742700290.028116,172.16.155.254,104.24.29.233,59284,80,TCP,426,32,54.0,normal
1742700290.421515,172.21.76.50,104.23.10.102,50311,80,HTTP,745,128,15.0,normal
